team,qualification_prob,group_rank_1_prob,group_rank_2_prob,group_rank_3_prob,group_rank_4_prob
Argentina,0.9866,0.7738,0.1698,0.0482,0.0082
Spain,0.9776,0.6934,0.2338,0.0556,0.0172
Germany,0.9758,0.5532,0.3332,0.0994,0.0142
France,0.9756,0.6762,0.2368,0.0724,0.0146
Switzerland,0.9716,0.622,0.294,0.0646,0.0194
Brazil,0.9588,0.591,0.2732,0.1094,0.0264
England,0.9574,0.573,0.2992,0.1038,0.024
Ecuador,0.9464,0.368,0.4282,0.181,0.0228
Netherlands,0.9282,0.5282,0.2928,0.127,0.052
Canada,0.9266,0.3256,0.4874,0.149,0.038
Portugal,0.9186,0.4326,0.3662,0.1512,0.05
Uruguay,0.9158,0.2558,0.5422,0.1564,0.0456
Colombia,0.9142,0.4536,0.339,0.1524,0.055
Mexico,0.9118,0.4588,0.2948,0.1928,0.0536
Croatia,0.9094,0.332,0.4208,0.1926,0.0546
Belgium,0.8876,0.5056,0.2576,0.1516,0.0852
Morocco,0.865,0.2796,0.403,0.2404,0.077
Japan,0.8534,0.3404,0.3604,0.2024,0.0968
Austria,0.8376,0.1588,0.5008,0.2404,0.1
Norway,0.8294,0.2274,0.403,0.2784,0.0912
Korea Republic,0.8082,0.2914,0.3202,0.2586,0.1298
Iran,0.7824,0.2684,0.3342,0.2398,0.1576
Czech Republic,0.7752,0.2226,0.2944,0.3358,0.1472
Turkey,0.7632,0.3232,0.2632,0.226,0.1876
Paraguay,0.743,0.2942,0.272,0.232,0.2018
Scotland,0.6462,0.1118,0.251,0.4068,0.2304
Australia,0.645,0.2024,0.2344,0.277,0.2862
Senegal,0.6422,0.0832,0.28,0.4362,0.2006
Ivory Coast,0.6266,0.074,0.2084,0.5346,0.183
United States,0.5994,0.1802,0.2304,0.265,0.3244
Egypt,0.5916,0.139,0.2328,0.3208,0.3074
Uzbekistan,0.5616,0.0894,0.2016,0.4172,0.2918
Panama,0.5596,0.0784,0.2002,0.4378,0.2836
Algeria,0.5066,0.0476,0.2106,0.4248,0.317
Sweden,0.49,0.0734,0.1874,0.3526,0.3866
Bosnia and Herzegovina,0.4544,0.0362,0.1446,0.4736,0.3456
New Zealand,0.447,0.087,0.1754,0.2878,0.4498
Tunisia,0.4182,0.058,0.1594,0.318,0.4646
Cape Verde,0.3698,0.0274,0.1206,0.4218,0.4302
Saudi Arabia,0.3064,0.0234,0.1034,0.3662,0.507
Jordan,0.2892,0.0198,0.1188,0.2866,0.5748
DR Congo,0.2732,0.0244,0.0932,0.2792,0.6032
South Africa,0.2496,0.0272,0.0906,0.2128,0.6694
Ghana,0.2378,0.0166,0.0798,0.2658,0.6378
Qatar,0.236,0.0162,0.074,0.3128,0.597
Haiti,0.218,0.0176,0.0728,0.2434,0.6662
Iraq,0.1988,0.0132,0.0802,0.213,0.6936
Curacao,0.1134,0.0048,0.0302,0.185,0.78
